customer_id,name,email,plan,segment,status,created_at,country
CUST-0186,Empresa 186,contato186@empresa186.com.br,starter,SMB,trial,2022-05-02,BR
CUST-0187,Empresa 187,contato187@empresa187.com.br,starter,SMB,active,2023-09-26,BR
CUST-0188,Empresa 188,contato188@empresa188.com.br,growth,Mid-Market,active,2023-03-30,BR
CUST-0189,Empresa 189,contato189@empresa189.com.br,growth,Mid-Market,active,2023-08-06,BR
CUST-0190,Empresa 190,contato190@empresa190.com.br,growth,Mid-Market,churned,2024-02-21,BR
CUST-0191,Empresa 191,contato191@empresa191.com.br,starter,SMB,churned,2022-06-10,BR
CUST-0192,Empresa 192,contato192@empresa192.com.br,growth,Mid-Market,active,2023-02-23,BR
CUST-0193,Empresa 193,contato193@empresa193.com.br,growth,Mid-Market,active,2022-08-26,BR
CUST-0194,Empresa 194,contato194@empresa194.com.br,starter,SMB,churned,2022-03-14,BR
CUST-0195,Empresa 195,contato195@empresa195.com.br,enterprise,Enterprise,churned,2023-10-03,BR
CUST-0196,Empresa 196,contato196@empresa196.com.br,growth,Mid-Market,active,2022-04-28,BR
CUST-0197,Empresa 197,contato197@empresa197.com.br,growth,Mid-Market,trial,2024-04-26,BR
CUST-0198,Empresa 198,contato198@empresa198.com.br,starter,SMB,churned,2023-09-02,US
CUST-0199,Empresa 199,contato199@empresa199.com.br,growth,Mid-Market,active,2022-05-08,BR
CUST-0200,Empresa 200,contato200@empresa200.com.br,starter,SMB,active,2022-10-06,BR
